source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
1,3,0,1,2,3,4.496213716779988,3.0751547863251245
1,4,0,1,3,4,4.677687775603417,3.1992727343892966
1,5,0,0,3,3,0.47867228279827223,0.32738465167586905
1,6,0,0,2,2,0.6769499984400058,0.46299534651489394
1,7,0,1,1,2,0.0666914554464694,0.04561316728735798
1,8,0,0,3,3,0.3227592813832133,0.22074901494835097
1,9,0,0,4,4,1.4791829680896207,1.0116771289575208
1,10,0,0,5,5,1.7530972873945885,1.1990189643578415
1,11,0,0,7,7,0.05928539353524289,0.04054784162253642
1,12,0,0,8,8,0.0014075755646214465,0.0009627017324612056
1,13,0,0,6,6,0.003315464142794885,0.00226758914718731
1,14,0,2,25,27,0.09965661707348195,0.06815946533830748
1,15,0,1,7,8,0.29355934143962753,0.20077791465505102
1,16,0,2,1,3,10.258417952534831,7.016175176266586
1,17,0,2,3,5,10.291009475899722,7.038465926969812
1,18,0,0,1,1,0.043153294700656666,0.029514402362408106
1,19,0,1,6,7,0.03399800274981495,0.02325270271104066
1,20,0,1,25,26,0.00423374739951216,0.002895642734043651
1,21,0,1,26,27,0.1505735473980088,0.10298375347392268
1,22,0,2,29,31,0.11866430045480537,0.08115964108815817
1,23,0,2,30,32,0.3614200133901989,0.24719075961685338
1,24,0,2,27,29,0.28055131127186583,0.19188116090827817
1,25,0,2,28,30,0.13134057971014493,0.08982949605509874
1,26,0,3,25,28,0.3698514883798498,0.25295740958134266
1,27,0,2,33,35,0.15983729248659226,0.1093196289111016
1,28,0,2,32,34,0.18561845293354978,0.12695247822375735
1,29,0,1,8,9,0.7230246782893457,0.49450781037716907
1,30,0,2,26,28,0.49965648326453843,0.34173665284080873
1,31,0,2,14,16,1.4460600807620936,0.9890229554866256
1,32,0,1,9,10,1.8681382962097601,1.2777004797763303
1,33,0,1,10,11,0.749127383516778,0.5123605780551385
1,34,0,3,12,15,2.3167987447361744,1.5845587415559477
1,35,0,0,9,9,0.7774350143905872,0.531721389630052
1,36,0,1,7,8,1.1864942137031003,0.8114946463953179
1,37,0,2,8,10,1.5470995991257268,1.0581282467552158
1,38,0,2,37,39,0.39647883721300325,0.27116900368458347
1,39,0,2,35,37,0.8364501896425671,0.572084417295897
1,40,0,2,15,17,2.365390502726863,1.6177927438907016
1,41,0,0,10,10,1.9677835555479446,1.3458521770688414
1,42,0,1,4,5,2.10574040688298,1.4402068270949306
1,43,0,2,31,33,0.20364617108391173,0.1392824134200559
1,44,0,1,9,10,0.8973058739978849,0.6137062486429997
1,45,0,1,12,13,0.6507633699457092,0.4450851800894364
1,46,0,1,13,14,0.1206942878147558,0.08254803713410984
1,47,0,1,17,18,0.4939413448236544,0.33782782278110646
1,48,0,3,26,29,0.3847661685542576,0.26315820363027087
1,49,0,2,34,36,0.45226541444382057,0.309323853696229
1,50,0,1,15,16,0.13662643027932905,0.0934447175951609
1,51,0,1,8,9,2.148781348746825,1.469644386498876
