source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
1,2,0,1,0,1,7.720426762316082e-05,0.00011342167810641379
1,3,0,2,0,2,5.9527732482370224e-05,8.74528768924508e-05
1,4,0,3,0,3,7.874490743751928e-05,0.00011568504978885777
1,5,0,4,0,4,0.0001586938046485475,0.000233138894810654
1,6,0,5,0,5,0.0003077990292319903,0.0004521910962930284
1,7,0,3,1,4,0.06904984194232706,0.10144191748969965
1,8,0,4,1,5,0.06904984194232706,0.10144191748969965
1,9,0,5,1,6,0.06904984194232706,0.10144191748969965
1,10,0,3,2,5,0.007498337062345045,0.011015893276391303
1,11,0,4,2,6,1.5502977019333748,2.2775601962325993
1,12,0,0,0,1,1.5502977019333748,2.2775601962325993
1,13,0,4,3,7,1.1806082121630905,1.7344451120676074
1,14,0,4,4,8,1.2357419494985133,1.8154427201193406
1,15,0,4,5,9,1.2912200191960348,1.8969461908071419
1,16,0,1,1,2,0.0013952499490623035,0.0020497777580505186
1,17,0,2,1,3,0.0013952499490623035,0.0020497777580505186
1,18,0,3,1,4,0.0013952499490623035,0.0020497777580505186
1,19,0,4,1,5,0.0013952499490623035,0.0020497777580505186
1,20,0,5,1,6,0.0013952499490623035,0.0020497777580505186
1,21,0,6,1,7,0.0013952499490623035,0.0020497777580505186
1,22,0,7,1,8,0.1796331434911675,0.2639011184944687
1,23,0,0,0,1,0.9683194544902691,1.4225692549465443
1,24,0,0,0,1,0.7467143525134342,1.0970066491869728
1,25,0,9,2,11,1.051388527571816,1.5446069862497152
1,26,0,0,0,1,2.576196719248425,3.784720249606213
1,27,0,0,0,1,0.8988916171794907,1.3205720201107172
1,28,0,8,4,12,0.8685060515233471,1.2759322358988594
1,29,0,7,2,9,0.01231461855298538,0.018091547844707016
1,30,0,7,3,10,0.12092703131035727,0.17765529344303915
1,31,0,8,3,11,0.12092703131035727,0.17765529344303915
1,32,0,7,4,11,0.4726362048853898,0.6943552881507535
1,33,0,7,5,12,0.49967089838214745,0.7340722675081864
1,34,0,7,6,13,0.5272932738659143,0.7746526172363459
1,35,0,7,7,14,0.5554156570453331,0.8159675340247592
1,36,0,0,0,1,0.45061149682495993,0.6619985360575775
1,37,0,7,9,16,0.008364871162001176,0.012288928495106911
1,38,0,0,0,1,0.4054240201171727,0.5956130939650712
1,39,0,0,0,1,0.4044257001277037,0.5941464505789122
1,40,0,0,0,1,0.3317793511743146,0.4874208632471875
1,41,0,0,0,1,0.304265571278857,0.4470000525476357
1,42,0,0,0,1,0.20465403997036635,0.3006596054766863
1,43,0,0,0,1,0.213698327666399,0.3139466726213201
1,44,0,0,0,1,0.21901854214906247,0.3217626609479642
1,45,0,0,0,1,0.2515214925523696,0.36951311946078735
1,46,0,0,0,1,0.23832515765724885,0.35012623199020654
1,47,0,0,0,1,0.03826143920355723,0.056210320683517646
1,48,0,0,0,1,0.07454431631572704,0.10951391302737583
1,49,0,0,0,1,0.32145156385759965,0.4722481920380569
1,51,0,0,0,1,1.2983967401352776,1.9074895941356151
1,52,0,7,10,17,0.0021556813122137076,0.003166936225434331
1,53,0,0,0,1,0.0021556813122137076,0.003166936225434331
1,54,0,0,0,1,0.046392157441882256,0.06815525242359409
1,55,0,0,0,1,0.2585377101141772,0.3798207254302425
1,56,0,0,0,1,0.48624298482676764,0.7143451651625883
1,57,0,0,0,1,0.5522528990097201,0.811321089794568
1,58,0,0,0,1,0.6501894627176846,0.9552008226864408
1,59,0,0,0,1,0.5369341171837222,0.7888160911106676
1,60,0,0,0,1,0.27294398838050865,0.4009851546326651
1,61,0,0,0,1,2.395631024208526,3.5194491088988
1,62,0,0,0,1,0.02057869081026797,0.030232391508800766
1,63,0,0,0,1,0.27098770276469986,0.39811115291965726
1,64,0,0,0,1,0.3940182418928748,0.5788567339070507
1,65,0,11,12,23,2.024250362210221,2.9738495041499804
