dest,avg_cost_in,avg_cost_out
9,14.921971252566735,73.01848049281314
11,16.899383983572896,74.00410677618069
12,17.897330595482547,74.00410677618069
14,17.88911704312115,74.00410677618069
15,18.8870636550308,74.00410677618069
16,17.8911704312115,73.01848049281314
17,14.587268993839835,72.00616016427105
18,15.252566735112936,71.97535934291581
19,15.921971252566735,71.94866529774127
23,18.61601642710472,71.85831622176592
25,20.347022587268995,72.80082135523614
26,21.31211498973306,72.78439425051334
27,22.281314168377822,72.77207392197126
28,23.254620123203285,72.76386036960986
29,24.232032854209447,72.75975359342915
30,25.213552361396303,72.75975359342915
31,26.19917864476386,72.76386036960986
32,27.188911704312115,72.77207392197126
34,29.18069815195072,73.782340862423
36,30.17864476386037,73.79876796714579
41,17.256673511293634,74.71252566735113
42,18.254620123203285,74.71252566735113
43,17.24229979466119,73.71252566735113
45,19.22381930184805,74.70431211498973
46,20.2217659137577,74.70431211498973
47,19.2217659137577,73.71663244353182
48,20.21971252566735,73.72689938398358
51,23.581108829568787,74.47638603696099
52,24.579055441478438,74.47638603696099
54,24.542094455852155,74.47022587268994
55,25.540041067761805,74.47022587268994
56,24.515400410677618,73.47843942505133
57,25.48870636550308,73.48459958932239
58,26.46611909650924,73.49486652977413
59,27.4476386036961,73.50924024640658
61,29.429158110882955,74.52156057494867
62,30.427104722792606,74.52156057494867
64,30.42299794661191,74.5482546201232
65,31.420944558521562,74.5482546201232
67,20.739219712525667,74.53593429158111
68,21.737166324435318,74.53593429158111
70,21.679671457905545,74.50924024640658
71,22.677618069815196,74.50924024640658
72,21.632443531827516,73.49691991786447
74,17.981519507186857,73.55030800821355
75,18.93429158110883,73.52772073921972
76,19.8911704312115,73.50924024640658
77,20.852156057494867,73.49486652977413
78,21.817248459958932,73.48459958932239
79,22.786447638603697,73.47843942505133
80,23.759753593429156,73.47638603696099
81,24.737166324435318,73.47843942505133
82,25.718685831622178,73.48459958932239
83,26.704312114989733,73.49486652977413
85,28.689938398357288,74.50308008213553
86,29.68788501026694,74.50308008213553
87,28.691991786447637,73.53182751540041
90,21.613963039014372,74.65503080082135
91,22.611909650924023,74.65503080082135
93,22.587268993839835,74.64476386036961
94,23.585215605749486,74.64476386036961
95,22.572895277207394,73.64887063655031
96,23.55852156057495,73.65092402464066
97,24.548254620123203,73.65708418891171
98,25.542094455852155,73.66735112936345
99,26.540041067761805,73.68172484599589
101,15.490759753593428,73.84599589322382
102,16.484599589322382,73.84394250513347
103,17.482546201232033,73.84599589322382
106,18.04517453798768,74.63860369609856
107,19.04312114989733,74.63860369609856
109,19.034907597535934,74.63655030800821
110,20.032854209445585,74.63655030800821
111,19.036960985626283,73.64887063655031
114,19.741273100616016,74.564681724846
115,20.739219712525667,74.564681724846
116,19.73100616016427,73.56673511293634
117,20.720739219712527,73.56673511293634
118,21.71457905544148,73.57084188911705
119,22.71252566735113,73.57905544147845
120,22.562628336755647,72.32443531827515
123,16.322381930184804,78.01232032854209
132,15.106776180698152,71.04722792607802
133,15.316221765913758,70.652977412731
134,15.529774127310061,70.26283367556468
135,15.747433264887064,69.87679671457906
141,17.238193018480494,68.95277207392198
142,17.59958932238193,69.3141683778234
143,17.99794661190965,69.71252566735113
144,18.433264887063654,70.14784394250513
145,18.90965092402464,70.62422997946612
146,19.42299794661191,71.13757700205339
147,19.97741273100616,71.69199178644764
148,20.572895277207394,72.28747433264887
149,21.213552361396303,72.92813141683779
151,22.60574948665298,74.32032854209446
152,23.357289527720738,75.07186858316221
153,24.15400410677618,75.86858316221766
155,25.83778234086242,77.55236139630391
160,16.90965092402464,68.62422997946612
161,17.193018480492814,68.90759753593429
162,17.51334702258727,69.22792607802874
163,17.874743326488705,69.58932238193019
164,18.27310061601643,69.98767967145791
165,18.70841889117043,70.42299794661191
169,20.848049281314168,72.56262833675565
170,21.48870636550308,73.20328542094455
171,22.166324435318277,73.88090349075975
173,23.632443531827516,75.347022587269
175,25.258726899383984,76.97330595482546
176,26.1129363449692,77.82751540041068
177,27.008213552361397,78.72279260780287
178,27.93634496919918,79.65092402464066
183,17.84599589322382,69.56057494866529
184,18.207392197125255,69.92197125256673
185,18.60574948665298,70.32032854209446
186,19.041067761806982,70.75564681724846
188,20.030800821355236,71.74537987679672
189,20.585215605749486,72.29979466119096
190,21.18069815195072,72.8952772073922
191,21.82135523613963,73.53593429158111
192,22.498973305954827,74.21355236139631
193,23.213552361396303,74.92813141683779
194,23.965092402464066,75.67967145790554
195,24.761806981519506,76.47638603696099
197,26.44558521560575,78.16016427104722
199,28.26899383983573,79.9835728952772
200,29.234086242299796,80.94866529774127
201,18.60574948665298,70.32032854209446
203,17.919917864476385,69.63449691991786
204,18.240246406570844,69.95482546201232
205,18.60164271047228,70.31622176591375
208,19.91170431211499,71.62628336755647
209,20.42505133470226,72.13963039014374
210,20.97946611909651,72.69404517453799
211,21.57494866529774,73.28952772073922
214,23.607802874743328,75.3223819301848
215,24.359342915811087,76.07392197125257
216,25.15605749486653,76.870636550308
218,26.83983572895277,78.55441478439425
219,27.73511293634497,79.44969199178645
220,28.66324435318275,80.37782340862422
221,29.628336755646817,81.34291581108829
224,18.37577002053388,70.09034907597535
225,18.696098562628336,70.41067761806981
227,19.455852156057496,71.17043121149898
228,19.8911704312115,71.60574948665298
229,20.367556468172484,72.08213552361396
230,20.880903490759753,72.59548254620123
231,21.435318275154003,73.14989733059548
232,22.030800821355236,73.74537987679672
253,22.519507186858316,74.2340862422998
254,23.16016427104723,74.87474332648871
255,23.83778234086242,75.55236139630391
257,25.303901437371664,77.01848049281314
263,30.572895277207394,82.28747433264887
264,20.059548254620122,71.7741273100616
265,19.09034907597536,70.80492813141684
266,19.373716632443532,71.08829568788501
270,20.88911704312115,72.60369609856262
271,21.365503080082135,73.08008213552361
272,21.878850102669404,73.59342915811088
273,22.433264887063654,74.14784394250513
276,24.347022587268995,76.06160164271047
277,25.06160164271047,76.77618069815195
278,25.813141683778234,77.52772073921972
281,28.293634496919918,80.0082135523614
282,29.188911704312115,80.9034907597536
283,30.117043121149898,81.83162217659138
284,31.082135523613964,82.79671457905545
285,20.626283367556468,72.34086242299794
286,19.657084188911703,71.37166324435319
287,19.940451745379878,71.65503080082135
288,20.260780287474333,71.97535934291581
289,20.62217659137577,72.33675564681725
290,21.02053388090349,72.73511293634498
291,21.455852156057496,73.17043121149898
292,21.93223819301848,73.64681724845995
293,22.44558521560575,74.16016427104722
294,23.0,74.71457905544148
295,23.595482546201232,75.31006160164272
296,24.236139630390145,75.95071868583162
297,24.913757700205338,76.62833675564681
298,25.628336755646817,77.34291581108829
299,26.37987679671458,78.09445585215606
300,27.17659137577002,78.89117043121149
301,28.006160164271048,79.72073921971253
302,28.860369609856264,80.57494866529774
303,29.75564681724846,81.47022587268994
304,30.683778234086244,82.39835728952772
305,31.648870636550306,83.36344969199179
306,21.279260780287473,72.99383983572895
307,20.310061601642712,72.02464065708419
308,20.593429158110883,72.30800821355236
309,20.913757700205338,72.62833675564681
310,21.275154004106778,72.98973305954826
311,21.673511293634498,73.38809034907598
312,22.1088295687885,73.82340862422998
313,22.585215605749486,74.29979466119096
314,23.098562628336754,74.81314168377824
315,23.652977412731005,75.36755646817248
316,24.248459958932237,75.96303901437372
317,24.88911704312115,76.60369609856262
318,25.566735112936346,77.28131416837782
319,26.281314168377822,77.99589322381931
320,27.032854209445585,78.74743326488706
321,27.829568788501028,79.54414784394251
322,28.659137577002053,80.37371663244353
323,29.51334702258727,81.22792607802874
324,30.408624229979466,82.12320328542094
325,31.33675564681725,83.05133470225873
326,32.30184804928131,84.0164271047228
327,22.018480492813143,73.73305954825462
328,21.04928131416838,72.76386036960986
329,21.33264887063655,73.04722792607802
330,21.652977412731005,73.36755646817248
331,22.014373716632445,73.72895277207392
332,22.412731006160165,74.12731006160165
333,22.848049281314168,74.56262833675565
334,23.324435318275153,75.03901437371663
335,23.83778234086242,75.55236139630391
336,24.392197125256672,76.10677618069815
337,24.987679671457904,76.70225872689939
338,25.628336755646817,77.34291581108829
339,26.305954825462013,78.02053388090349
340,27.02053388090349,78.73511293634498
341,27.772073921971252,79.48665297741273
342,28.568788501026695,80.28336755646818
343,29.39835728952772,81.1129363449692
344,30.252566735112936,81.96714579055441
345,31.147843942505133,82.86242299794661
346,32.07597535934291,83.7905544147844
347,33.04106776180698,84.75564681724846
348,22.84394250513347,74.55852156057495
349,21.874743326488705,73.58932238193019
350,22.15811088295688,73.87268993839835
351,22.478439425051334,74.19301848049281
352,22.83983572895277,74.55441478439425
353,23.238193018480494,74.95277207392198
354,23.673511293634498,75.38809034907598
355,24.149897330595483,75.86447638603696
356,24.66324435318275,76.37782340862422
357,25.217659137577,76.93223819301848
358,25.813141683778234,77.52772073921972
359,26.453798767967147,78.16837782340862
360,27.13141683778234,78.84599589322382
361,27.84599589322382,79.56057494866529
362,28.59753593429158,80.31211498973306
363,29.39425051334702,81.10882956878851
364,30.22381930184805,81.93839835728953
365,31.078028747433265,82.79260780287474
366,31.973305954825463,83.68788501026694
367,32.90143737166324,84.61601642710473
368,33.86652977412731,85.58110882956879
369,23.75564681724846,75.47022587268994
370,22.786447638603697,74.50102669404518
371,23.069815195071868,74.78439425051334
372,23.390143737166323,75.1047227926078
373,23.751540041067763,75.46611909650925
374,24.149897330595483,75.86447638603696
375,24.585215605749486,76.29979466119096
376,25.06160164271047,76.77618069815195
377,25.57494866529774,77.28952772073922
378,26.129363449691994,77.84394250513347
379,26.724845995893222,78.43942505133471
380,27.365503080082135,79.08008213552361
381,28.04312114989733,79.75770020533881
382,28.75770020533881,80.47227926078028
383,29.50924024640657,81.22381930184805
384,30.305954825462013,82.02053388090349
385,31.135523613963038,82.85010266940452
386,31.989733059548254,83.70431211498973
387,32.885010266940455,84.59958932238193
388,33.813141683778234,85.52772073921972
389,34.7782340862423,86.49281314168378
390,24.753593429158112,76.46817248459959
391,113.55441478439425,40.4517453798768
392,113.97741273100615,40.16427104722793
393,114.40451745379877,39.880903490759756
394,114.83572895277207,39.60164271047228
395,115.27104722792608,39.3264887063655
396,115.71047227926078,39.05544147843943
397,116.15400410677618,38.78850102669404
398,116.60164271047228,38.525667351129364
399,117.05338809034907,38.26694045174538
400,117.50924024640658,38.012320328542096
401,117.96919917864476,37.761806981519506
402,118.43326488706366,37.51540041067762
403,118.90143737166325,37.27310061601643
404,119.37371663244353,37.034907597535934
405,119.85010266940452,36.80082135523614
406,120.3305954825462,36.57084188911704
407,120.81519507186859,36.34496919917864
408,121.30390143737166,36.12320328542094
409,121.79671457905545,35.90554414784394
410,122.29363449691992,35.69199178644764
411,122.79466119096509,35.48254620123203
412,123.29979466119096,35.27720739219713
413,123.80903490759754,35.07597535934291
414,124.3223819301848,34.878850102669404
415,124.83983572895278,34.68583162217659
416,125.36139630390144,34.496919917864474
417,125.8870636550308,34.31211498973306
418,126.41683778234086,34.13141683778234
419,126.95071868583162,33.95482546201232
420,127.48870636550308,33.782340862423
