source,destination,hamming_distance,fitts_ratio
8,38,2,6.264572324871788
8,39,1,6.2435673129177856
8,40,1,6.222967275749917
8,41,2,6.2028259537300015
8,42,3,7.841905730243922
8,43,1,6.177072599538452
8,44,1,6.1582158658012345
8,45,2,7.7982184966223835
8,46,1,6.134370372605243
8,67,1,6.182452260381472
8,51,1,6.285931401313426
8,52,2,6.264572324871788
8,53,1,6.2435673129177856
8,54,1,6.222967275749917
8,55,2,6.2028259537300015
8,56,3,7.841905730243922
8,57,1,6.177072599538452
8,58,1,6.1582158658012345
8,59,2,7.7982184966223835
8,60,1,6.134370372605243
8,48,1,6.182452260381472
8,32,1,6.105700944416667
8,33,1,6.078162352599778
8,34,2,7.712205343459318
8,35,1,6.042209978235625
8,104,1,6.2494910342012036
8,105,1,6.227007817669642
8,62,1,6.105700944416667
8,63,1,6.078162352599778
8,64,2,7.712205343459318
8,65,1,6.042209978235625
18,4,7,6.045693670646402
18,5,8,6.82653293821087
18,7,8,6.560935343023213
18,8,9,6.8328297047935
18,27,1,3.6445712212429306
18,28,1,3.7328590880138353
18,70,1,3.707748675116167
18,71,2,5.410886990985284
18,72,1,3.8191880364261253
18,73,1,3.9232179064524475
18,74,1,4.035891837125416
18,75,1,4.151819624379912
18,76,2,5.880275119301419
18,77,1,4.303714834745453
18,78,1,4.415624173469083
18,79,1,4.523474612374921
18,80,1,4.626794344263897
18,81,1,4.725445853870471
18,82,1,4.819489055580448
18,83,2,6.531109133522166
18,84,1,4.936710933877621
18,85,1,5.0208196775418985
18,87,1,3.707748675116167
18,88,2,5.410886990985284
18,89,1,3.8191880364261253
18,90,1,3.9232179064524475
18,91,1,4.035891837125416
18,92,1,4.151819624379912
18,93,2,5.880275119301419
18,94,1,4.303714834745453
18,95,1,4.415624173469083
18,96,1,4.523474612374921
18,97,1,4.626794344263897
18,98,1,4.725445853870471
18,99,1,4.819489055580448
18,100,2,6.531109133522166
18,101,1,4.936710933877621
18,102,1,5.0208196775418985
18,37,1,3.35895148624466
18,38,2,3.4865195518749337
18,39,1,3.6333642362416123
18,40,1,3.786283566283235
18,41,2,3.937401784754439
18,42,3,5.686021635536536
18,43,1,4.127333757132386
18,44,1,4.262432728010645
18,45,2,5.999115312455955
18,46,1,4.428183824170319
18,67,1,4.060991485859897
18,51,1,3.35895148624466
18,52,2,3.4865195518749337
18,53,1,3.6333642362416123
18,54,1,3.786283566283235
18,55,2,3.937401784754439
18,56,3,5.686021635536536
18,57,1,4.127333757132386
18,58,1,4.262432728010645
18,59,2,5.999115312455955
18,60,1,4.428183824170319
18,48,1,4.060991485859897
18,32,1,4.425190295574473
18,33,1,4.456333344280851
18,34,2,6.13456632201951
18,35,1,4.512558338534572
18,104,1,3.6445712212429306
18,105,1,3.7328590880138353
18,62,1,4.425190295574473
18,63,1,4.456333344280851
18,64,2,6.13456632201951
18,65,1,4.512558338534572
27,4,7,5.9711367542128615
27,5,8,6.61601177191502
27,7,8,6.303813142416336
27,8,9,6.621459811588162
27,18,1,3.6445712212429306
27,28,1,1.0
27,70,1,-0.7589919004962051
27,71,2,2.1827148667619745
27,72,1,1.433907398308029
27,73,1,2.22461696484473
27,74,1,2.7360894596933534
27,75,1,3.113793055248244
27,76,2,4.969969479368514
27,77,1,3.496744084127191
27,78,1,3.7318212930642356
27,79,1,3.9339648200219566
27,80,1,4.111267732412448
27,81,1,4.269166626435348
27,82,1,4.411489481629645
27,83,2,6.150240486330226
27,84,1,4.579927851629505
27,85,1,4.695761609024164
27,87,1,-0.7589919004962051
27,88,2,2.1827148667619745
27,89,1,1.433907398308029
27,90,1,2.22461696484473
27,91,1,2.7360894596933534
27,92,1,3.113793055248244
27,93,2,4.969969479368514
27,94,1,3.496744084127191
27,95,1,3.7318212930642356
27,96,1,3.9339648200219566
27,97,1,4.111267732412448
27,98,1,4.269166626435348
27,99,1,4.411489481629645
27,100,2,6.150240486330226
27,101,1,4.579927851629505
27,102,1,4.695761609024164
27,37,1,1.2684888359259021
27,38,2,1.6466645673169387
27,39,1,2.223251163962508
27,40,1,2.692779695105262
27,41,2,3.0626159986973103
27,42,3,4.918797877468606
27,43,1,3.4470205249416486
27,44,1,3.685262650590589
27,45,2,5.475924833664477
27,46,1,3.9506142233160966
27,67,1,2.1255308820838588
27,51,1,1.2684888359259021
27,52,2,1.6466645673169387
27,53,1,2.223251163962508
27,54,1,2.692779695105262
27,55,2,3.0626159986973103
27,56,3,4.918797877468606
27,57,1,3.4470205249416486
27,58,1,3.685262650590589
