source,destination,hamming_distance,fitts_ratio
5,51,8,5.316528189021321
5,52,9,5.294788499315684
5,53,10,5.273354883412674
5,54,11,5.252276445042192
5,55,12,5.231605355621766
5,56,13,6.8436382293237585
5,57,14,5.205073085031046
5,58,15,5.185563223769518
5,59,16,6.797579829542663
5,60,17,5.160774128559628
5,48,12,5.217630736434849
5,32,13,5.144798487240479
5,33,14,5.117007175440131
5,34,15,6.721851904664838
5,35,16,5.08061628823889
5,104,11,5.281617433761647
5,105,12,5.25876751731765
5,62,12,5.144798487240479
5,63,13,5.117007175440131
5,64,14,6.721851904664838
5,65,15,5.08061628823889
7,4,3,5.841867385758534
7,5,4,4.984742874044658
7,8,1,4.9376767210281685
7,18,6,5.227983583695261
7,27,10,4.978351820289611
7,28,11,4.979407407778373
7,70,9,4.964766643034798
7,71,10,6.585544985453971
7,72,11,4.96650442907347
7,73,12,4.96958161527303
7,74,13,4.974155380634627
7,75,14,4.98019691068418
7,76,15,6.605639677949325
7,77,16,4.990339061399334
7,78,17,4.9996261779276585
7,79,18,5.010228340057023
7,80,19,5.022085693434707
7,81,20,5.035133760608276
7,82,21,5.049304488135541
7,83,22,6.68149189373562
7,84,23,5.069579845701216
7,85,24,5.086079034143099
7,87,10,4.964766643034798
7,88,11,6.585544985453971
7,89,12,4.96650442907347
7,90,13,4.96958161527303
7,91,14,4.974155380634627
7,92,15,4.98019691068418
7,93,16,6.605639677949325
7,94,17,4.990339061399334
7,95,18,4.9996261779276585
7,96,19,5.010228340057023
7,97,20,5.022085693434707
7,98,21,5.035133760608276
7,99,22,5.049304488135541
7,100,23,6.68149189373562
7,101,24,5.069579845701216
7,102,25,5.086079034143099
7,37,9,5.0324505428554795
7,38,10,5.033428734807335
7,39,11,5.035789769980179
7,40,12,5.039519912373603
7,41,13,5.044597677674379
7,42,14,6.670714240998543
7,43,15,5.053300481624908
7,44,16,5.0613800084298575
7,45,17,6.689816586134297
7,46,18,5.073897098217427
7,67,11,4.874877959910533
7,51,8,5.0324505428554795
7,52,9,5.033428734807335
7,53,10,5.035789769980179
7,54,11,5.039519912373603
7,55,12,5.044597677674379
